ticker,fiscal_year,sentiment_mean,sentiment_std,sentiment_pos_pct,sentiment_neg_pct,news_count
1202.SR,2024,0.8993708690007528,0.025606150299344092,1.0,0.0,3
1211.SR,2024,0.29719052215417224,0.05278685329354085,1.0,0.0,3
1211.SR,2023,0.523901799072822,0.34918357206059814,1.0,0.0,3
2010.SR,2024,0.30054616058866185,0.2853936781425335,0.6666666666666666,0.3333333333333333,3
2010.SR,2023,0.5177251243342956,0.3728947310747473,1.0,0.0,3
2010.SR,2022,0.9217986067136129,0.00987060964678595,1.0,0.0,3
2010.SR,2021,0.35432813006142777,0.31972612050286187,1.0,0.0,3
7204.SR,2024,0.0,0.0,0.0,0.0,0
7204.SR,2023,0.40161070475975674,0.4790505626193499,0.8333333333333334,0.16666666666666666,6
7204.SR,2022,0.3990477127954364,0.36054745464541804,1.0,0.0,6
2081.SR,2024,0.90938667456309,0.03281041238020672,1.0,0.0,3
2081.SR,2023,0.6535755544900894,0.3466881543645438,1.0,0.0,3
2082.SR,2024,0.5918710877497991,0.394243569923149,1.0,0.0,3
2082.SR,2023,0.8185038765271505,0.12812165923396068,1.0,0.0,3
2082.SR,2022,0.5977237820625305,0.3031296903534823,1.0,0.0,3
2082.SR,2021,0.49727746595939,0.26817831497657324,1.0,0.0,3
2222.SR,2024,0.5693510125080744,0.44310136921998616,0.6666666666666666,0.3333333333333333,3
2222.SR,2023,0.2752075220147769,0.13959726367024394,1.0,0.0,3
2222.SR,2022,-0.012352014581362406,0.719116838759026,0.6666666666666666,0.3333333333333333,3
2222.SR,2021,0.34070421755313873,0.3731288190995577,0.6666666666666666,0.3333333333333333,3
2280.SR,2024,0.3059915906439225,0.4367032002972843,0.6666666666666666,0.3333333333333333,3
2382.SR,2024,0.8280381361643473,0.0009335245966172955,1.0,0.0,3
2382.SR,2023,0.3173393029719591,0.40018281289146324,1.0,0.0,3
2382.SR,2022,0.5048945347468058,0.2496852149758469,1.0,0.0,3
3008.SR,2023,0.02850458398461342,0.018475108921397785,1.0,0.0,3
3008.SR,2022,0.6456178774436315,0.3922741722486791,1.0,0.0,3
3008.SR,2021,0.0,0.0,0.0,0.0,0
4290.SR,2024,0.5894156967600187,0.37484741233192903,1.0,0.0,3
4290.SR,2023,0.6413262287775675,0.06643145848822232,1.0,0.0,3
4321.SR,2024,0.11320624127984047,0.13355845893107585,0.6666666666666666,0.3333333333333333,3
4321.SR,2023,0.16295695304870605,0.7968798350618899,0.6666666666666666,0.3333333333333333,3
4321.SR,2022,0.0999776062866052,0.04631595571594033,1.0,0.0,3
5110.SR,2024,0.6074640949567159,0.18350799727630202,1.0,0.0,3
5110.SR,2023,0.8028484384218851,0.08512438958535869,1.0,0.0,3
5110.SR,2022,0.0,0.0,0.0,0.0,0
5110.SR,2021,0.0,0.0,0.0,0.0,0
7010.SR,2024,0.4539309729422842,0.2995342691547471,1.0,0.0,7
7010.SR,2023,0.5481138128255095,0.4147401779629744,1.0,0.0,7
7010.SR,2022,0.6075054723769426,0.2649486005038345,1.0,0.0,8
7010.SR,2021,0.18497970617479748,0.24257993514861753,0.6666666666666666,0.3333333333333333,9
7020.SR,2024,0.6700517997766534,0.3271598931965741,0.8333333333333334,0.16666666666666666,6
7020.SR,2023,0.20468899607658386,0.8362830405743847,0.6666666666666666,0.3333333333333333,6
7030.SR,2024,-0.9549732506275177,0.01102196294337153,0.0,1.0,4
7030.SR,2023,0.5712104868143797,0.3794335315890076,1.0,0.0,4
9535.SR,2024,0.6203902065753937,0.26845466437695903,1.0,0.0,3
9568.SR,2024,0.0770069236556689,0.08053258474313618,1.0,0.0,3
9619.SR,2024,0.8736483057339987,0.02451556938355795,1.0,0.0,3
